price,location_id_real_consumer,location_id_aggregated_consumer,year,is_real
102.35,23,,2017 ,true
102.18,24,,2017 ,true
101.4,25,,2017 ,true
105.8,26,,2017 ,true
101.4,27,,2017 ,true
102.2,28,,2017 ,true
100.0,29,,2017 ,true
104.7,30,,2017 ,true
103.02,31,,2017 ,true
101.4,32,,2017 ,true
100.9,33,,2017 ,true
119.63,34,,2017 ,true
103.4,35,,2017 ,true
102.34,36,,2017 ,true
101.77,37,,2017 ,true
106.59,0,,2018 ,true
105.41,1,,2018 ,true
106.44,2,,2018 ,true
102.48,3,,2018 ,true
101.03,4,,2018 ,true
100.23,5,,2018 ,true
105.1,6,,2018 ,true
104.0,7,,2018 ,true
101.8,8,,2018 ,true
103.56,,0,2018 ,false
103.55,,1,2018 ,false
108.05,9,,2018 ,true
101.94,10,,2018 ,true
103.46,11,,2018 ,true
103.57,,2,2018 ,false
102.42,12,,2018 ,true
103.6,13,,2018 ,true
102.23,14,,2018 ,true
105.84,15,,2018 ,true
100.8,16,,2018 ,true
99.86,17,,2018 ,true
102.5,18,,2018 ,true
107.07,19,,2018 ,true
104.21,20,,2018 ,true
105.63,21,,2018 ,true
105.39,22,,2018 ,true
104.66,23,,2018 ,true
103.95,24,,2018 ,true
103.02,25,,2018 ,true
109.0,26,,2018 ,true
102.6,27,,2018 ,true
103.4,28,,2018 ,true
104.08,29,,2018 ,true
106.8,30,,2018 ,true
105.12,31,,2018 ,true
103.36,32,,2018 ,true
103.46,33,,2018 ,true
139.17,34,,2018 ,true
105.9,35,,2018 ,true
104.55,36,,2018 ,true
102.84,37,,2018 ,true
108.39,0,,2019 ,true
106.98,1,,2019 ,true
107.77,2,,2019 ,true
104.99,3,,2019 ,true
101.41,4,,2019 ,true
100.78,5,,2019 ,true
107.8,6,,2019 ,true
105.5,7,,2019 ,true
102.5,8,,2019 ,true
104.8,,0,2019 ,false
104.79,,1,2019 ,false
110.5,9,,2019 ,true
102.46,10,,2019 ,true
104.26,11,,2019 ,true
105.04,,2,2019 ,false
103.58,12,,2019 ,true
104.95,13,,2019 ,true
103.04,14,,2019 ,true
109.46,15,,2019 ,true
101.7,16,,2019 ,true
