indic,unit,geo\time	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 	2022Q3 	2022Q4 
TOTAL,PCH_Q1_NSA,IE	-0.8 	-0.1 	0.3 	1.3 	1.5 	2.4 	5.1 	4.2 	2.6 	1.8 	2.8 	1.2 p
TOTAL,PCH_Q1_NSA,IS	0.9 	2.1 	1.8 	2.2 	2.2 	5.3 	3.4 	4.0 	4.2 	7.7 	6.3 	1.4 
TOTAL,PCH_Q1_NSA,IT	0.9 	3.0 	-2.5 	0.2 	1.1 	1.7 	1.1 	0.1 	1.6 	2.3 	-1.1 	0.0 p
TOTAL,PCH_Q1_NSA,LT	2.6 	2.2 	0.4 	3.9 	5.0 	3.4 	5.4 	4.7 	4.4 	5.9 	3.0 	1.9 
TOTAL,PCH_Q1_NSA,LU	4.0 	4.3 	2.8 	4.6 	4.4 	0.9 	2.7 	3.6 	2.7 	2.2 	2.1 	-1.4 p
TOTAL,PCH_Q1_NSA,LV	0.7 	-2.4 	3.4 	0.6 	1.4 	6.4 	3.6 	3.9 	2.5 	5.4 	1.2 	-0.2 p
TOTAL,PCH_Q1_NSA,MT	-4.4 	2.0 	1.8 	2.5 	-1.6 	2.8 	2.3 	1.1 	0.5 p	3.5 p	1.1 p	0.7 p
TOTAL,PCH_Q1_NSA,NL	1.7 	2.4 	2.5 	2.0 	4.0 	4.0 	5.9 	3.8 	4.4 	2.9 	0.5 	-2.6 p
TOTAL,PCH_Q1_NSA,NO	1.8 	2.7 	2.1 	0.3 	4.4 	3.2 	0.7 	-0.7 	4.4 	2.1 	0.2 	-3.6 
TOTAL,PCH_Q1_NSA,PL	3.6 	2.0 	2.0 	1.0 	2.0 	3.1 	2.6 	3.9 	3.3 	2.0 	2.4 	1.4 
TOTAL,PCH_Q1_NSA,PT	3.8 	1.8 	-0.5 	2.7 	2.5 	2.9 	2.9 	2.7 	3.8 	3.1 	2.9 	1.1 
TOTAL,PCH_Q1_NSA,RO	3.3 	0.1 	-2.6 	1.3 	2.7 	1.6 	0.1 	2.8 	1.7 	3.7 	-1.2 	2.5 
TOTAL,PCH_Q1_NSA,SE	1.2 	0.1 	2.2 	1.7 	3.1 	3.5 	2.6 	1.3 	2.6 	0.5 	-3.1 	-3.6 
TOTAL,PCH_Q1_NSA,SI	1.0 	1.9 	0.1 	2.0 	3.0 	4.6 	2.6 	4.6 	4.1 	3.5 	2.4 	1.0 
TOTAL,PCH_Q1_NSA,SK	4.0 	0.5 	1.5 	1.1 	-1.2 	3.3 	4.7 	3.6 	1.9 	5.5 	2.8 	-0.8 
TOTAL,PCH_Q1_NSA,TR	5.6 d	11.3 d	5.1 d	5.6 d	6.9 d	8.9 d	10.3 d	24.4 d	40.5 d	35.2 d	22.3 d	15.3 d
TOTAL,PCH_Q1_NSA,UK	0.0 	0.1 	3.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,PCH_Q4_NSA,AT	7.7 	6.8 	8.5 	7.6 	9.7 	11.8 	12.7 	15.4 	14.7 	12.3 	11.9 	7.9 p
TOTAL,PCH_Q4_NSA,BE	3.5 	4.5 	3.2 	5.7 	6.9 	7.4 	8.2 	6.0 	6.5 	5.9 	5.3 	4.7 p
TOTAL,PCH_Q4_NSA,BG	4.7 	2.9 	5.2 	5.4 	7.5 	9.1 	8.7 	9.4 	11.5 b	14.6 	15.6 	13.4 p
TOTAL,PCH_Q4_NSA,CH	1.6 	2.5 	2.6 	3.1 	3.9 	4.7 	6.9 	7.3 	7.0 	7.5 	6.3 	4.8 
TOTAL,PCH_Q4_NSA,CY	1.1 	-2.9 	-1.4 	2.4 	-5.8 	-4.8 	2.5 	-5.2 	1.1 	2.0 	5.3 	4.4 
